e, e_dot, e_int, stamp, 
-0.24327292742179096, -0.9753579638172128, -0.027618620867815545, 92378000000, 
-0.26765924943184927, -0.15772800704344725, -0.04875153494483035, 92480000000, 
-0.2857334856962452, -0.14153519424818073, -0.05311104416999236, 92548000000, 
-0.30931537225093525, -0.1388537427302866, -0.057513873825268645, 92650000000, 
-0.28196423784934876, 0.012564159489654725, -0.05846753971976861, 92718000000, 
-0.11129863125873624, 0.6600558033073299, -0.046838549423934686, 92820000000, 
-0.08150045683552684, 0.6682126033794064, -0.031650888396240785, 92888000000, 
-0.029057285141429523, 0.27413782039102236, -0.014790424882379506, 92990000000, 
0.007157362114508015, 0.2955260631667828, -0.006893358657496557, 93058000000, 
0.056013058323235554, 0.2835678115488836, 0.0022742090197542695, 93160000000, 
0.06065551813138442, 0.17832718672292136, 0.0082550625712752, 93228000000, 
0.13607059442824562, 0.26685845368336686, 0.016849278058857706, 93330000000, 
0.13566926947014407, 0.2500458377958655, 0.022159692135318276, 93398000000, 
0.13094856716525985, -0.017073424209952576, 0.0268458954042433, 93500000000, 
0.1198802142461339, -0.05263018408003389, 0.025766536725435857, 93602000000, 
0.11593911901335571, -0.05003149383968045, 0.024451193361649966, 93670000000, 
0.09750664155913263, -0.07457857562333757, 0.022221731654574816, 93772000000, 
0.41672370030813055, 1.0026152709825826, 0.04201129739204126, 93840000000, 
0.4193667453026866, 1.0728670124785131, 0.06223980581132998, 93942000000, 
0.42353895207252157, 0.02271750588130339, 0.08397529317888924, 94010000000, 
0.43317757790610995, 0.04603610867807787, 0.08507221835208786, 94112000000, 
0.4438964609816312, 0.06785836303036548, 0.08670753273068417, 94180000000, 
0.4124893108642077, -0.06896089013967414, 0.08597088998346326, 94282000000, 
0.3185329784499056, -0.4178782751057521, 0.07832791668638298, 94350000000, 
0.2850216981651912, -0.42489204233005506, 0.06773626583195362, 94452000000, 
0.2495804149819128, -0.2298418782266426, 0.05687567277313397, 94554000000, 
0.2254103523317927, -0.1987044861113282, 0.05066749769859311, 94622000000, 
0.19085784533721317, -0.19574189881566542, 0.04438990751006124, 94724000000, 
0.17670395355840168, -0.1623546625779701, 0.03953147674849383, 94792000000, 
0.07165321986689549, -0.3973487515677256, 0.02928100125083402, 94894000000, 
0.050885060671644666, -0.41939630962252333, 0.019949482273129454, 94962000000, 
0.02327908498491718, -0.16124711627326102, 0.009721157701563822, 95064000000, 
-0.00027723721225669795, -0.17054099294633787, 0.00492579389628701, 95166000000, 
-0.023283223453528373, -0.15520769479481852, -1.8758378724526016e-05, 95268000000, 
-0.07894163071090568, -0.26221464499549657, -0.00683347275844605, 95370000000, 
-0.07941734945208703, -0.18711375332852886, -0.012109480241101405, 95438000000, 
-0.08181081015942118, -0.009563931495051673, -0.016011319354827594, 95506000000, 
-0.08003354433422719, -0.002053982940467177, -0.01608411359638236, 95608000000, 
-0.07748791978757821, 0.014409634572809896, -0.015955484952081773, 95676000000, 
-0.06747750427212265, 0.04185346687368178, -0.01499993122626187, 95778000000, 
-0.05555475733120163, 0.07311054152125528, -0.013368012092726833, 95846000000, 
-0.08733771006799328, -0.06620068598623541, -0.014024664778087836, 95914000000, 
-0.0784882558715058, -0.07644499513434723, -0.014758714884713383, 96016000000, 
-0.07089758799646258, 0.05480040690510233, -0.015781570262397446, 96118000000, 
-0.06663896563444639, 0.039497634123531376, -0.014401653966827651, 96220000000, 
-0.057989070985951796, 0.04302839003503594, -0.01303504164112405, 96322000000, 
-0.07024485947833001, -0.012019646146278715, -0.01299152640658188, 96390000000, 
-0.06155956056022024, -0.011901631914228139, -0.01265289940163347, 96458000000, 
-0.05794765038101932, 0.040990696991035636, -0.012650138027971304, 96526000000, 
-0.05127530307436901, 0.03428085828617075, -0.011385500934373904, 96628000000, 
-0.04613894943344243, 0.039362336491922945, -0.010357460192588716, 96730000000, 
-0.040242956336326643, 0.0367744891268079, -0.00917714725627587, 96798000000, 
-0.04221832841294765, 0.013068736734982619, -0.008573348945514448, 96900000000, 
-0.03858988302111323, 0.00551024438404472, -0.008070077851359167, 96968000000, 
-0.033498510088199, 0.029066061082495497, -0.0076204481014839915, 97070000000, 
-0.029532062086506227, 0.03019273644869, -0.006774697013054564, 97172000000, 
-0.02738004173068269, 0.020394894525054368, -0.0060273742603591945, 97240000000, 
